CODMUNDV,NOMEMUN,X,Y
2102507,Cajari,-45.05273,-3.3906400000000003
2102556,Campestre do Maranhão,-47.26399,-6.176130000000001
2102606,Cândido Mendes,-45.6758,-1.61604
2102705,Cantanhede,-44.26269,-3.62161
2102754,Capinzal do Norte,-44.30621,-4.682169999999999
2102804,Carolina,-47.20272,-7.37326
2102903,Carutapera,-46.02636,-1.34781
2103000,Caxias,-43.29959,-4.86669
2103109,Cedral,-44.593379999999996,-1.9808700000000001
2103125,Central do Maranhão,-44.858090000000004,-2.2549
2103158,Centro do Guilherme,-46.117,-2.42872
2103174,Centro Novo do Maranhão,-46.534440000000004,-3.07409
2103208,Chapadinha,-43.45384,-3.84876
2103257,Cidelândia,-47.82991,-5.05713
2103307,Codó,-43.88599,-4.60724
2103406,Coelho Neto,-43.11217,-4.24805
2103505,Colinas,-44.18162,-6.05566
2103554,Conceição do Lago-Açu,-44.83822,-3.798
2103604,Coroatá,-44.145309999999995,-4.1022
2103703,Cururupu,-44.810109999999995,-1.6964299999999999
2103752,Davinópolis,-47.299859999999995,-5.59847
2103802,Dom Pedro,-44.3971,-5.02128
2103901,Duque Bacelar,-43.009809999999995,-4.09929
2104008,Esperantinópolis,-44.890570000000004,-4.8991
2104057,Estreito,-47.20127,-6.782489999999999
2104073,Feira Nova do Maranhão,-46.62473,-6.99753
2104081,Fernando Falcão,-45.30618,-6.1738
2104099,Formosa da Serra Negra,-46.18626,-6.51421
2104107,Fortaleza dos Nogueiras,-46.08193,-6.94186
2104206,Fortuna,-44.02956,-5.66838
2104305,Godofredo Viana,-45.764790000000005,-1.3729799999999999
2104404,Gonçalves Dias,-44.172,-5.15226
2104503,Governador Archer,-44.2215,-4.9995
2104552,Governador Edison Lobão,-47.32476,-5.71849
2104602,Governador Eugênio Barros,-44.067240000000005,-5.38525
2104628,Governador Luiz Rocha,-44.093309999999995,-5.53717
2104651,Governador Newton Bello,-45.92587,-3.4191
2104677,Governador Nunes Freire,-45.81821,-2.0617400000000004
2104701,Graça Aranha,-44.31812,-5.4148
2104800,Grajaú,-46.01488,-5.84018
2104909,Guimarães,-44.64295,-2.14508
2105005,Humberto de Campos,-43.58132,-2.6133900000000003
2105104,Icatu,-43.8705,-2.62118
2105153,Igarapé do Meio,-45.12383,-3.6564699999999997
2105203,Igarapé Grande,-44.819559999999996,-4.58592
